Hour_End,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,ERCOT
1/1/2014 1:00,9101.69121871747,1338.19793926132,1820.20624355773,793.458458310993,12298.8011469879,3236.10906479301,6121.14614250403,1102.5235048675,35812.133719
1/1/2014 1:59,8907.9757815683,1328.94006423946,1809.18086081788,791.141629664932,12297.1098233546,3246.49337499401,6091.01884987808,1098.77477148278,35570.635156
1/1/2014 3:00,8738.46097281186,1317.99084561284,1804.52457299965,789.791906173328,12285.2952466641,3217.72138824466,6060.01751540954,1097.716762084,35311.51921
1/1/2014 4:00,8622.67125871093,1325.54513409941,1807.22712566447,797.195877015093,12368.0700728706,3165.20354493879,6017.61006881617,1105.89124788457,35209.41433
1/1/2014 4:59,8615.48046815921,1348.59618735444,1816.4560434588,810.868332481215,12639.0173590162,3134.1993297595,6072.94809742978,1123.92731434086,35561.493132
1/1/2014 6:00,8742.45298438659,1379.74018100114,1831.81962935812,832.485011237045,13055.19139279,3152.19616465203,6212.84871265077,1152.57303692426,36359.307113
1/1/2014 7:00,8888.16582105485,1416.90397258203,1839.68078281562,856.14282621826,13420.2896596905,3204.28011930942,6379.1196401925,1188.62425113686,37193.207073
1/1/2014 7:59,8816.91369764078,1424.1057867853,1854.89805301401,871.837848375627,13555.6929534122,3190.13839254912,6442.75642656609,1216.65877365683,37373.001932
1/1/2014 9:00,8825.77297899337,1405.35453278743,1848.27563550576,867.787958039809,13328.3290385041,3204.40928147775,6385.5082397549,1214.6578009369,37080.095466
1/1/2014 10:00,8933.59255920327,1369.45575969595,1821.51970928745,849.238438013497,12978.9802448901,3248.86434690146,6173.12017257082,1181.97866643741,36556.749897
1/1/2014 10:59,8914.12545502604,1311.75895342501,1799.47087247921,817.832345282075,12468.3636745169,3252.18041787651,6015.25893560993,1137.41228078436,35716.402935
1/1/2014 12:00,8823.4021285323,1245.11827684803,1774.65457503491,790.923399409656,11898.9698185759,3224.85007015027,5831.22033011051,1089.13219733848,34678.270796
1/1/2014 13:00,8753.35726781622,1168.07692486038,1738.80823709236,753.152921642454,11264.4666918033,3149.9297991378,5629.15098617702,1037.35959247051,33494.302421
1/1/2014 13:59,8637.54874537681,1095.97230759169,1697.59689163178,717.356363002859,10641.2805823613,3072.61757769498,5407.3888928259,987.57227851473,32257.333639
1/1/2014 15:00,8564.84521618345,1034.74596532199,1674.63631711185,690.410222953199,10125.7146031088,3001.42790606921,5256.91482623589,955.206555015555,31303.901612
1/1/2014 16:00,8545.05183257757,1014.8066318076,1659.62872643671,676.710353992355,9863.59293854728,2949.42374469256,5199.28264025334,934.980211692553,30843.47708
1/1/2014 16:59,8662.52715042353,1027.3578633403,1654.07046505776,680.119294447944,9808.2715521051,2930.26819040097,5187.26208003652,932.282964187873,30882.15956
1/1/2014 18:00,9165.11314321714,1106.2631387644,1668.49951696578,729.857765478848,10437.2237110045,3005.96786580704,5495.40739524653,963.184252515738,32571.516789
1/1/2014 19:00,9476.32552348717,1177.21812441027,1754.00513761262,785.940810988692,11286.3143926624,3181.40013681077,5941.36301720895,1046.20675281914,34648.773896
1/1/2014 19:59,9395.81752388516,1170.13139105802,1778.7117788378,801.734171722045,11324.8050711855,3174.56766164333,5909.44887914748,1066.19883752071,34621.415315
1/1/2014 21:00,9233.66260254875,1154.20913656282,1793.64351482407,819.282788079567,11308.2176407307,3130.52819919155,5785.71409741651,1069.74013764605,34294.998117
1/1/2014 22:00,8965.06619591396,1113.23365889699,1801.38398188071,830.16073706053,11354.6086373687,3033.77282650757,5621.91869034572,1061.97427302579,33782.119001
1/1/2014 22:59,8591.94119607058,1052.51815993047,1783.02317123606,831.883430189984,11340.1062027411,2893.73049655224,5325.67573759473,1047.92677268485,32866.805167
1/2/2014 0:00,8107.6572,994.99527,1767.59196,828.30281,11351.3879,2696.9904,5028.8683,1030.42588,31806.21972
1/2/2014 1:00,7680.35074195214,970.521436339478,1758.67819275211,840.286378666539,11578.6073731523,2521.95100895206,4816.73237161415,1020.25753257117,31187.385036
1/2/2014 1:59,7436.66293973688,982.629810900986,1761.85140666737,852.751789372528,12000.5210190524,2401.62075921362,4717.08280050232,1029.44193955392,31182.562465
1/2/2014 3:00,7343.09708392555,1027.06784319621,1784.86344659839,873.657106293291,12537.3010006765,2329.00667257251,4756.37876170558,1053.50864503196,31704.88056
1/2/2014 4:00,7441.80935749708,1101.37607100003,1795.08774694287,900.829173136602,13246.9631009246,2300.74510838201,4990.30007588477,1087.18472423208,32864.295358
1/2/2014 4:59,7762.90791163639,1204.86483026771,1820.54176536534,937.034371845206,14106.5035401715,2337.07289875116,5411.19874958127,1137.8377633814,34717.961831
1/2/2014 6:00,8528.8471567525,1356.18581533098,1866.32422474493,995.69513977974,15433.2643800432,2489.46666609226,6130.63496155464,1221.85176270173,38022.270107
1/2/2014 7:00,9494.055631547,1542.40308988667,1936.65760059241,1066.57228878435,16846.5315667565,2740.3639338457,6917.2461142718,1328.41435531554,41872.244581
1/2/2014 7:59,10145.997726354,1667.81964656586,1984.89314263372,1115.41025226172,17739.3229360159,2932.80009404577,7391.66052178552,1410.25814433757,44388.162464
1/2/2014 9:00,10488.9014356897,1708.56370926747,1976.685596423,1119.80955744115,17704.3795289067,3055.66256220145,7526.84007969653,1420.29059837405,45001.133068
1/2/2014 10:00,10838.1641460015,1704.64785651044,1957.32623425408,1100.06389769612,17423.0105500355,3163.26654397647,7513.24696521087,1401.919674315,45101.645868
